Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
30/03/2024,Newcastle,West Ham,1.88,4.12,3.77
30/03/2024,Bournemouth,Everton,2.19,3.64,3.25
30/03/2024,Chelsea,Burnley,1.32,5.90,9.07
30/03/2024,Nott'm Forest,Crystal Palace,2.25,3.38,3.33
30/03/2024,Sheffield United,Fulham,4.62,4.04,1.74
30/03/2024,Tottenham,Luton,1.26,6.82,9.55
30/03/2024,Aston Villa,Wolves,1.69,4.37,4.59
30/03/2024,Brentford,Man United,2.97,3.78,2.28
31/03/2024,Liverpool,Brighton,1.40,5.47,6.87
31/03/2024,Man City,Arsenal,1.90,3.81,3.96
02/04/2024,Newcastle,Everton,1.84,3.99,3.99
02/04/2024,Nott'm Forest,Fulham,2.67,3.48,2.63
02/04/2024,Bournemouth,Crystal Palace,1.89,3.83,3.94
02/04/2024,Burnley,Wolves,2.85,3.53,2.45
02/04/2024,West Ham,Tottenham,3.16,4.00,2.10
03/04/2024,Arsenal,Luton,1.18,7.96,14.31
03/04/2024,Brentford,Brighton,2.62,3.70,2.55
03/04/2024,Man City,Aston Villa,1.28,6.41,9.55
04/04/2024,Liverpool,Sheffield United,1.09,13.12,22.01
04/04/2024,Chelsea,Man United,1.99,3.96,3.49
