Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
05/04/2024,Lille,Marseille,2.25,3.37,3.35
06/04/2024,Lens,Le Havre,1.59,4.08,6.00
06/04/2024,Paris SG,Clermont,1.17,8.64,14.48
07/04/2024,Brest,Metz,1.55,4.00,6.78
07/04/2024,Montpellier,Lorient,1.78,3.92,4.47
07/04/2024,Reims,Nice,2.47,3.30,2.98
07/04/2024,Toulouse,Strasbourg,2.08,3.59,3.57
07/04/2024,Monaco,Rennes,1.84,3.99,4.05
07/04/2024,Nantes,Lyon,3.27,3.34,2.29
12/04/2024,Metz,Lens,4.21,3.67,1.88
13/04/2024,Strasbourg,Reims,2.78,3.46,2.52
13/04/2024,Rennes,Toulouse,1.87,3.75,4.09
14/04/2024,Le Havre,Nantes,2.52,3.08,3.10
14/04/2024,Clermont,Montpellier,3.23,3.52,2.21
14/04/2024,Lyon,Brest,2.32,3.35,3.19
