Date,HomeTeam,AwayTeam,FTR,Avg_H,Avg_D,Avg_A,pred_home,pred_draw,pred_away
11/08/2023,Burnley,Man City,A,,,,,,
12/08/2023,Arsenal,Nott'm Forest,H,,,,,,
12/08/2023,Bournemouth,West Ham,D,,,,,,
12/08/2023,Brighton,Luton,H,,,,,,
12/08/2023,Everton,Fulham,A,,,,,,
12/08/2023,Sheffield United,Crystal Palace,A,,,,,,
12/08/2023,Newcastle,Aston Villa,H,,,,,,
13/08/2023,Brentford,Tottenham,D,,,,,,
13/08/2023,Chelsea,Liverpool,D,,,,,,
14/08/2023,Man United,Wolves,H,,,,,,
18/08/2023,Nott'm Forest,Sheffield United,H,,,,,,
19/08/2023,Fulham,Brentford,A,,,,,,
19/08/2023,Liverpool,Bournemouth,H,,,,,,
19/08/2023,Wolves,Brighton,A,,,,,,
19/08/2023,Tottenham,Man United,H,,,,,,
19/08/2023,Man City,Newcastle,H,,,,,,
20/08/2023,Aston Villa,Everton,H,,,,,,
20/08/2023,West Ham,Chelsea,H,,,,,,
21/08/2023,Crystal Palace,Arsenal,A,,,,,,
25/08/2023,Chelsea,Luton,H,,,,,,
26/08/2023,Bournemouth,Tottenham,A,,,,,,
26/08/2023,Arsenal,Fulham,D,,,,,,
26/08/2023,Brentford,Crystal Palace,D,,,,,,
26/08/2023,Everton,Wolves,A,,,,,,
26/08/2023,Man United,Nott'm Forest,H,,,,,,
26/08/2023,Brighton,West Ham,A,,,,,,
27/08/2023,Burnley,Aston Villa,A,,,,,,
27/08/2023,Sheffield United,Man City,A,,,,,,
27/08/2023,Newcastle,Liverpool,A,,,,,,
01/09/2023,Luton,West Ham,A,,,,,,
02/09/2023,Sheffield United,Everton,D,,,,,,
02/09/2023,Brentford,Bournemouth,D,,,,,,
02/09/2023,Burnley,Tottenham,A,,,,,,
02/09/2023,Chelsea,Nott'm Forest,A,,,,,,
02/09/2023,Man City,Fulham,H,,,,,,
02/09/2023,Brighton,Newcastle,H,,,,,,
03/09/2023,Crystal Palace,Wolves,H,,,,,,
03/09/2023,Liverpool,Aston Villa,H,,,,,,
03/09/2023,Arsenal,Man United,H,,,,,,
16/09/2023,Wolves,Liverpool,A,,,,,,
16/09/2023,Aston Villa,Crystal Palace,H,,,,,,
16/09/2023,Fulham,Luton,H,,,,,,
16/09/2023,Man United,Brighton,A,,,,,,
16/09/2023,Tottenham,Sheffield United,H,,,,,,
16/09/2023,West Ham,Man City,A,,,,,,
16/09/2023,Newcastle,Brentford,H,,,,,,
17/09/2023,Bournemouth,Chelsea,D,,,,,,
17/09/2023,Everton,Arsenal,A,,,,,,
18/09/2023,Nott'm Forest,Burnley,D,,,,,,
23/09/2023,Crystal Palace,Fulham,D,,,,,,
23/09/2023,Luton,Wolves,D,,,,,,
23/09/2023,Man City,Nott'm Forest,H,,,,,,
23/09/2023,Brentford,Everton,A,,,,,,
23/09/2023,Burnley,Man United,A,,,,,,
24/09/2023,Arsenal,Tottenham,D,,,,,,
24/09/2023,Brighton,Bournemouth,H,,,,,,
24/09/2023,Chelsea,Aston Villa,A,,,,,,
24/09/2023,Liverpool,West Ham,H,,,,,,
24/09/2023,Sheffield United,Newcastle,A,,,,,,
30/09/2023,Aston Villa,Brighton,H,,,,,,
30/09/2023,Bournemouth,Arsenal,A,,,,,,
