Date,HomeTeam,AwayTeam,FTR,Avg_H,Avg_D,Avg_A,pred_home,pred_draw,pred_away
29/03/2024,Lille,Lens,H,2.15,3.42,3.56,0.53,0.32,0.15
30/03/2024,Metz,Monaco,A,5.14,4.18,1.65,0.12,0.25,0.63
30/03/2024,Lyon,Reims,D,2.08,3.7,3.49,0.28,0.22,0.51
31/03/2024,Lorient,Brest,A,4.0,3.39,2.02,0.17,0.31,0.52
31/03/2024,Clermont,Toulouse,A,3.14,3.37,2.36,0.21,0.26,0.53
31/03/2024,Le Havre,Montpellier,A,2.57,3.35,2.84,0.37,0.3,0.32
31/03/2024,Nice,Nantes,A,1.76,3.62,5.15,0.57,0.27,0.16
31/03/2024,Strasbourg,Rennes,H,3.1,3.47,2.33,0.25,0.32,0.43
31/03/2024,Marseille,Paris SG,A,3.27,3.87,2.1,0.22,0.34,0.45
05/04/2024,Lille,Marseille,H,2.25,3.37,3.35,0.59,0.31,0.1
06/04/2024,Lens,Le Havre,D,1.59,4.08,6.0,0.61,0.27,0.12
06/04/2024,Paris SG,Clermont,D,1.17,8.64,14.48,0.54,0.34,0.12
07/04/2024,Brest,Metz,H,1.55,4.0,6.78,0.65,0.26,0.1
07/04/2024,Montpellier,Lorient,H,1.78,3.92,4.47,0.37,0.29,0.34
07/04/2024,Reims,Nice,D,2.47,3.3,2.98,0.45,0.27,0.28
07/04/2024,Toulouse,Strasbourg,D,2.08,3.59,3.57,0.43,0.29,0.29
07/04/2024,Monaco,Rennes,H,1.84,3.99,4.05,0.56,0.3,0.15
07/04/2024,Nantes,Lyon,A,3.27,3.34,2.29,0.22,0.18,0.6
12/04/2024,Metz,Lens,,4.44,3.7,1.84,0.12,0.22,0.66
13/04/2024,Strasbourg,Reims,,2.71,3.39,2.67,0.32,0.26,0.42
13/04/2024,Rennes,Toulouse,,1.87,3.71,4.27,0.55,0.3,0.16
14/04/2024,Le Havre,Nantes,,2.53,3.09,3.14,0.4,0.22,0.39
14/04/2024,Clermont,Montpellier,,3.34,3.57,2.18,0.15,0.24,0.61
14/04/2024,Lyon,Brest,,2.26,3.38,3.33,0.2,0.25,0.55
19/04/2024,Nice,Lorient,,1.5,4.3,6.77,0.58,0.29,0.13
20/04/2024,Nantes,Rennes,,3.15,3.31,2.36,0.16,0.25,0.59
20/04/2024,Lens,Clermont,,1.43,4.48,8.02,0.58,0.29,0.13
21/04/2024,Le Havre,Metz,,2.07,3.3,3.84,0.4,0.23,0.37
21/04/2024,Lille,Strasbourg,,1.58,4.1,5.82,0.63,0.3,0.07
21/04/2024,Reims,Montpellier,,1.87,3.82,4.01,0.49,0.27,0.23
21/04/2024,Brest,Monaco,,2.65,3.39,2.68,0.42,0.31,0.27
21/04/2024,Toulouse,Marseille,,3.17,3.44,2.28,0.34,0.33,0.34
21/04/2024,Paris SG,Lyon,,1.39,5.31,7.31,0.59,0.28,0.12
28/04/2024,Clermont,Reims,,0.0,0.0,0.0,0.12,0.23,0.65
