Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A,pred_home,pred_draw,pred_away
12/04/2024,Metz,Lens,4.44,3.7,1.84,0.12,0.22,0.66
13/04/2024,Strasbourg,Reims,2.71,3.39,2.67,0.32,0.26,0.42
13/04/2024,Rennes,Toulouse,1.87,3.71,4.27,0.55,0.3,0.16
14/04/2024,Le Havre,Nantes,2.53,3.09,3.14,0.4,0.22,0.39
14/04/2024,Clermont,Montpellier,3.34,3.57,2.18,0.15,0.24,0.61
14/04/2024,Lyon,Brest,2.26,3.38,3.33,0.2,0.25,0.55
19/04/2024,Nice,Lorient,1.5,4.3,6.77,0.58,0.29,0.13
20/04/2024,Nantes,Rennes,3.15,3.31,2.36,0.16,0.25,0.59
20/04/2024,Lens,Clermont,1.43,4.48,8.02,0.58,0.29,0.13
21/04/2024,Le Havre,Metz,2.07,3.3,3.84,0.4,0.23,0.37
21/04/2024,Lille,Strasbourg,1.58,4.1,5.82,0.63,0.3,0.07
21/04/2024,Reims,Montpellier,1.87,3.82,4.01,0.49,0.27,0.23
21/04/2024,Brest,Monaco,2.65,3.39,2.68,0.42,0.31,0.27
21/04/2024,Toulouse,Marseille,3.17,3.44,2.28,0.34,0.33,0.34
21/04/2024,Paris SG,Lyon,1.39,5.31,7.31,0.59,0.28,0.12
28/04/2024,Clermont,Reims,0.0,0.0,0.0,0.12,0.23,0.65
