Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
13/04/2024,Newcastle,Tottenham,2.75,3.96,2.40
13/04/2024,Brentford,Sheffield United,1.44,5.14,6.82
13/04/2024,Burnley,Brighton,3.75,3.89,1.96
13/04/2024,Man City,Luton,1.09,12.83,24.96
13/04/2024,Nott'm Forest,Wolves,2.25,3.55,3.23
13/04/2024,Bournemouth,Man United,2.45,3.93,2.69
14/04/2024,Liverpool,Crystal Palace,1.24,7.04,11.69
14/04/2024,West Ham,Fulham,2.32,3.71,2.99
14/04/2024,Arsenal,Aston Villa,1.28,6.49,10.36
15/04/2024,Chelsea,Everton,1.67,4.24,4.91
20/04/2024,Luton,Brentford,2.81,3.73,2.41
20/04/2024,Sheffield United,Burnley,2.86,3.58,2.43
20/04/2024,Wolves,Arsenal,7.63,5.03,1.41
21/04/2024,Everton,Nott'm Forest,1.87,3.80,4.14
21/04/2024,Aston Villa,Bournemouth,1.83,4.19,3.95
21/04/2024,Crystal Palace,West Ham,2.46,3.46,2.91
21/04/2024,Fulham,Liverpool,5.03,4.53,1.61
23/04/2024,Arsenal,Chelsea,-,-,-
24/04/2024,Wolves,Bournemouth,-,-,-
24/04/2024,Crystal Palace,Newcastle,-,-,-
