Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
12/04/2024,Metz,Lens,4.44,3.70,1.84
13/04/2024,Strasbourg,Reims,2.71,3.39,2.67
13/04/2024,Rennes,Toulouse,1.87,3.71,4.27
14/04/2024,Le Havre,Nantes,2.53,3.09,3.14
14/04/2024,Clermont,Montpellier,3.34,3.57,2.18
14/04/2024,Lyon,Brest,2.26,3.38,3.33
19/04/2024,Nice,Lorient,1.50,4.30,6.77
20/04/2024,Nantes,Rennes,3.15,3.31,2.36
20/04/2024,Lens,Clermont,1.43,4.48,8.02
21/04/2024,Le Havre,Metz,2.07,3.30,3.84
21/04/2024,Lille,Strasbourg,1.58,4.10,5.82
21/04/2024,Reims,Montpellier,1.87,3.82,4.01
21/04/2024,Brest,Monaco,2.65,3.39,2.68
21/04/2024,Toulouse,Marseille,3.17,3.44,2.28
21/04/2024,Paris SG,Lyon,1.39,5.31,7.31
28/04/2024,Clermont,Reims,0,0,0
